ID_xml,ID_rec
282_2025-03-20_13-00-00,8230.0
282_2025-03-20_13-31-00,8230.0
282_2025-03-20_14-32-00,8230.0
282_2025-03-06_11-57-19,9030.0
282_2025-03-06_12-05-19,9030.0
282_2025-03-06_13-00-00,9030.0
282_2025-03-06_13-06-00,9030.0
282_2025-03-06_13-17-00,9030.0
282_2025-03-06_13-44-00,9030.0
051_2025-03-06_10-28-15,9040.0
051_2025-03-06_10-36-15,9040.0
051_2025-03-06_13-00-00,9040.0
051_2025-03-06_13-06-00,9040.0
051_2025-03-06_13-17-00,9040.0
051_2025-03-06_13-44-00,9040.0
051_2025-03-13_12-03-45,9050.0
051_2025-03-13_12-11-45,9050.0
051_2025-03-13_13-00-00,9050.0
051_2025-03-13_13-06-00,9050.0
051_2025-03-13_13-17-00,9050.0
051_2025-03-13_13-44-00,9050.0
221_2025-03-03_12-33-38,9060.0
221_2025-03-03_12-36-38,9060.0
221_2025-03-03_13-00-00,9060.0
221_2025-03-03_13-06-00,9060.0
221_2025-03-03_13-17-00,9060.0
221_2025-03-03_13-44-00,9060.0
025_2025-03-03_11-06-44,9070.0
025_2025-03-03_11-09-44,9070.0
025_2025-03-03_13-00-00,9070.0
025_2025-03-03_13-06-00,9070.0
025_2025-03-03_13-17-00,9070.0
025_2025-03-03_13-44-00,9070.0
025_2025-02-28_11-42-44,9080.0
025_2025-02-28_13-00-00,9080.0
025_2025-02-28_13-06-00,9080.0
025_2025-02-28_13-17-00,9080.0
025_2025-03-01_14-18-29,9080.0
025_2025-03-01_14-24-29,9080.0
025_2025-03-01_14-35-29,9080.0
025_2025-03-01_15-02-29,9080.0
282_2025-03-15_10-37-04,9200.0
282_2025-03-15_10-45-04,9200.0
282_2025-03-15_13-00-00,9200.0
282_2025-03-15_13-06-00,9200.0
282_2025-03-15_13-17-00,9200.0
282_2025-03-15_13-44-00,9200.0
221_2025-03-19_13-00-00,9210.0
221_2025-03-19_13-31-00,9210.0
221_2025-03-19_14-32-00,9210.0
077_2025-03-14_12-16-49,9220.0
077_2025-03-14_12-19-49,9220.0
077_2025-03-14_13-00-00,9220.0
077_2025-03-14_13-06-00,9220.0
077_2025-03-14_13-17-00,9220.0
077_2025-03-14_13-44-00,9220.0
221_2025-03-21_12-03-23,9240.0
221_2025-03-21_12-06-23,9240.0
221_2025-03-21_13-00-00,9240.0
221_2025-03-21_13-31-00,9240.0
221_2025-03-21_14-32-00,9240.0
170_2025-02-25_15-02-23,0.0
170_2025-02-25_15-05-23,0.0
170_2025-02-26_13-00-00,0.0
170_2025-02-26_13-06-00,0.0
170_2025-02-26_13-17-00,0.0
