ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_mag_dec	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_xml_num_of_jobs	rec_y
6220	622	051_2025-03-20_10-48-20, 051_2025-03-20_10-52-20, 051_2025-03-20_13-00-00, 051_2025-03-20_13-31-00, 051_2025-03-20_14-32-00	051	29.0		40.0	29.0	2LaPalma_v2_ADU7	house 50m, urban area, small powerline 70m	Adam	2025-03-20 10:45:56+00:00	0.0	-4.308724913342009						Recording	-17.8714888902676	5.0	28.6482611068575
7200	720											0.0	-7.969155487349648							-17.8611583371944		28.6273777763712
7210	721	221_2025-03-17_12-30-19, 221_2025-03-17_13-00-00, 221_2025-03-17_13-06-00, 221_2025-03-17_13-17-00, 221_2025-03-17_13-44-00	221					LaPalma_ADU7	urban area, multiple houses within 100m radius, electric box 70m	Adam	2025-03-17 12:01:50+00:00	0.0	-4.307545940073792						Pending	-17.8625372718369	5.0	28.6363336027083
7220	722	077_2025-03-17_10-24-27, 077_2025-03-17_10-27-27, 077_2025-03-17_13-00-00, 077_2025-03-17_13-06-00, 077_2025-03-17_13-17-00, 077_2025-03-17_13-44-00	077	27.0	28.0			LaPalma_ADU8	urban area, house 60m, small power line 70m	Adam	2025-03-17 10:17:40+00:00	0.0	-4.3067089100594025						Pending	-17.8620416657702	6.0	28.6456722337268
8200	820												-7.964881905373518							-17.8501694483781		28.6259972177693
8210	821	077_2025-03-19_11-14-49, 077_2025-03-19_11-20-49, 077_2025-03-19_13-00-00, 077_2025-03-19_13-31-00, 077_2025-03-19_14-32-00	077	26.0	32.0	44.0		2LaPalma_v2_ADU8	house 100m, metal fence 80m	Adam	2025-03-19 11:17:29+00:00		-4.302639620606347						Pending	-17.8513916578025	5.0	28.6359555595909
8230	823	282_2025-03-20_12-46-49, 282_2025-03-20_12-49-49, 282_2025-03-20_13-00-00, 282_2025-03-20_13-31-00, 282_2025-03-20_14-32-00	282		30.0			2LaPalma_v2_ADU7	urban area, lots of EM noise sources nearby, major power line 200 m	Adam	2025-03-20 12:50:46+00:00	0.0	-4.300879890103715						Recording	-17.8513694419311	5.0	28.6549138878517
9200	920	282_2025-03-15_10-37-04, 282_2025-03-15_10-45-04, 282_2025-03-15_13-00-00, 282_2025-03-15_13-06-00, 282_2025-03-15_13-17-00, 282_2025-03-15_13-44-00	282					LaPalma_ADU7		Adam		0.0	-4.301625853605535						Pending	-17.8425166707984	6.0	28.6281027839771
9230	923												-7.960204445669299							-17.842127778907		28.6576638820556
9240	924	221_2025-03-21_12-03-23, 221_2025-03-21_12-06-23	221				28.0	2LaPalma_v2_ADU7	old mine 50m, metal fence 50m	Adam	2025-03-21 12:15:00+00:00		-4.298248758026289							-17.847133349092	2.0	28.6642805483398
10230	1023												-7.956885165995767							-17.833758330491		28.6579777789265
10240	1024	077_2025-03-21_10-41-30, 077_2025-03-21_10-47-30	077					2LaPalma_v2_ADU8		Adam	2025-03-21 10:40:35+00:00	0.0	-4.294596370894837							-17.8375555533638	2.0	28.6662944467489
12200	1220												-7.948288428389171							-17.808087890864		28.6255104299324
14200	1420												-7.941163389137311							-17.7900963325811		28.6259553092521
8060	806	282_2025-02-27_10-07-37, 282_2025-02-27_10-10-37, 282_2025-02-27_13-00-00, 282_2025-02-27_13-06-00, 282_2025-02-27_13-17-00, 282_2025-02-27_13-44-00	282					LaPalma_ADU7		Vincent		0.0	-4.320103266608478						Pending	-17.85015554	6.0	28.50225556
8070	807	051_2025-02-27_12-20-15, 051_2025-02-27_12-23-15, 051_2025-02-27_13-00-00, 051_2025-02-27_13-06-00, 051_2025-02-27_13-17-00, 051_2025-02-27_13-44-00	051					LaPalma_ADU7		Vincent		0.0	-4.32014553285562						Pending	-17.85188888	6.0	28.51057222
8080	808	221_2025-02-28_10-24-35, 221_2025-02-28_10-27-35, 221_2025-02-28_13-00-00, 221_2025-02-28_13-06-00, 221_2025-02-28_13-17-00, 221_2025-02-28_13-44-00	221					LaPalma_ADU7		Vincent		0.0	-4.318313132639417						Rejected	-17.84990555	6.0	28.52013334
9030	903	282_2025-03-06_11-57-19, 282_2025-03-06_12-05-19, 282_2025-03-06_13-00-00, 282_2025-03-06_13-06-00, 282_2025-03-06_13-17-00, 282_2025-03-06_13-44-00	282					LaPalma_ADU7		Vincent		0.0	-4.315530975315339						Pending	-17.840275	6.0	28.47418332
8190	819												-7.965232227868732							-17.8498833386469		28.6162861186063
7221	722	077_2025-03-18_13-11-00, 077_2025-03-18_13-49-37, 077_2025-03-18_14-32-00	077	27.0	28.0	50.0	50.0	2LaPalma_v2_ADU8	"rerun with new joblist, urban area, house 60m, small power line 70m
"	Adam		0.0	-4.306286384275858						Pending	-17.8620416657702	3.0	28.6456722337268
